name,city,state,domain,accept_rate_pct,avg_sat,avg_gpa,avg_act,ED_date,ED2_date,EA_date,REA_date,RD_date,coa_sticker,net_under_30k,net_30_48k,net_48_75k,net_75_110k,net_110_150k,net_150_200k,net_200k_plus,pell_pct,median_debt
Harvard University,Cambridge,MA,harvard.edu,4.2,1550,3.95,35,,,,Nov 1,Jan 1,91634,2279,2576,3748,7283,19341,37843,56398,21,12665
Stanford University,Stanford,CA,stanford.edu,3.8,1540,3.96,35,,,,Nov 1,Jan 5,97545,2538,2269,3582,6351,20874,38923,53592,19,13723
Massachusetts Institute of Technology,Cambridge,MA,mit.edu,4.6,1545,3.97,35,,,Nov 1,,Jan 5,92760,1386,2482,3582,6645,17392,34581,52947,19,13418
Yale University,New Haven,CT,yale.edu,4.2,1530,3.96,34,,,,Nov 1,Jan 2,98000,946,2183,3384,6632,16847,33914,50731,22,13142
Princeton University,Princeton,NJ,princeton.edu,4.4,1530,3.95,35,,,,Nov 1,Jan 1,94624,835,2652,3972,6452,15684,31248,47936,24,10320
Columbia University,New York,NY,columbia.edu,4.2,1540,3.96,35,Nov 1,,,,Jan 1,99774,1190,1790,4169,7457,18473,36128,54689,22,21500
University of Pennsylvania,Philadelphia,PA,upenn.edu,5.8,1540,3.9,35,Nov 1,,,,Jan 5,99082,1869,2134,3358,7241,17965,35274,53418,18,15715
Brown University,Providence,RI,brown.edu,5.6,1540,3.94,35,Nov 1,,,,Jan 3,99984,433,1574,2763,6431,17284,34096,51832,18,13000
Dartmouth College,Hanover,NH,dartmouth.edu,5.8,1500,3.91,34,Nov 1,,,,Jan 3,95901,729,1357,2961,5736,16532,32861,49987,20,17500
Cornell University,Ithaca,NY,cornell.edu,8.4,1540,3.92,34,Nov 1,,,,Jan 2,99953,757,1642,3452,5682,19426,37914,56472,20,14000
Duke University,Durham,NC,duke.edu,4.7,1550,3.93,34,Nov 1,,,,Jan 2,96597,804,1852,3973,5083,18241,35716,53984,19,13000
Northwestern University,Evanston,IL,northwestern.edu,7.9,1530,3.91,34,Nov 1,,,,Jan 2,99375,1316,2941,3745,5947,20183,39274,58631,18,15000
Johns Hopkins University,Baltimore,MD,jhu.edu,6.1,1540,3.93,35,Nov 1,Jan 2,,,Jan 2,92026,714,1659,3198,5472,19241,37683,56412,21,12750
Rice University,Houston,TX,rice.edu,7.9,1535,3.96,35,Nov 1,Jan 4,,,Jan 4,97309,863,1478,2679,3918,14876,29364,45782,19,11000
Vanderbilt University,Nashville,TN,vanderbilt.edu,4.1,1540,3.89,35,Nov 1,Jan 1,,,Jan 1,96896,938,2467,3687,4583,17628,34917,52648,17,14000
Washington University in St. Louis,St. Louis,MO,wustl.edu,12.1,1525,3.92,34,Nov 1,Jan 2,,,Jan 2,98000,707,1187,2643,4892,18104,35628,53741,16,17500
Carnegie Mellon University,Pittsburgh,PA,cmu.edu,11.6,1540,3.89,34,Nov 1,Jan 2,,,Jan 2,93614,839,1573,2348,3932,25783,46921,67384,16,21750
Tufts University,Medford,MA,tufts.edu,10.8,1510,3.9,34,Nov 4,Jan 6,,,Jan 6,97152,842,1404,1964,7582,23614,43827,64593,17,16250
Emory University,Atlanta,GA,emory.edu,10.6,1500,3.83,33,Nov 1,Jan 1,,,Jan 1,93128,877,1292,1842,7143,22387,41752,61984,18,18250
Georgetown University,Washington,DC,georgetown.edu,12.9,1490,3.93,34,,,Nov 1,,Jan 10,96492,992,1879,2418,9137,27614,49583,70946,15,15500
"University of California, Berkeley",Berkeley,CA,berkeley.edu,,,,,,,,,,,,,,,,,,,
"University of California, Los Angeles",Los Angeles,CA,ucla.edu,,,,,,,,,,,,,,,,,,,
University of Michigan-Ann Arbor,Ann Arbor,MI,umich.edu,,,,,,,,,,,,,,,,,,,
University of Virginia,Charlottesville,VA,virginia.edu,,,,,,,,,,,,,,,,,,,
New York University,New York,NY,nyu.edu,,,,,,,,,,,,,,,,,,,
Boston University,Boston,MA,bu.edu,,,,,,,,,,,,,,,,,,,
Northeastern University,Boston,MA,northeastern.edu,,,,,,,,,,,,,,,,,,,
Georgia Institute of Technology,Atlanta,GA,gatech.edu,,,,,,,,,,,,,,,,,,,
University of Southern California,Los Angeles,CA,usc.edu,,,,,,,,,,,,,,,,,,,
Boston College,Chestnut Hill,MA,bc.edu,,,,,,,,,,,,,,,,,,,
Case Western Reserve University,Cleveland,OH,case.edu,,,,,,,,,,,,,,,,,,,
Tulane University,New Orleans,LA,tulane.edu,,,,,,,,,,,,,,,,,,,
University of Rochester,Rochester,NY,rochester.edu,,,,,,,,,,,,,,,,,,,
Purdue University,West Lafayette,IN,purdue.edu,,,,,,,,,,,,,,,,,,,
University of Florida,Gainesville,FL,ufl.edu,,,,,,,,,,,,,,,,,,,
University of Washington,Seattle,WA,washington.edu,,,,,,,,,,,,,,,,,,,
Williams College,Williamstown,MA,williams.edu,,,,,,,,,,,,,,,,,,,
Amherst College,Amherst,MA,amherst.edu,,,,,,,,,,,,,,,,,,,
Bowdoin College,Brunswick,ME,bowdoin.edu,,,,,,,,,,,,,,,,,,,
Middlebury College,Middlebury,VT,middlebury.edu,,,,,,,,,,,,,,,,,,,
Grinnell College,Grinnell,IA,grinnell.edu,,,,,,,,,,,,,,,,,,,
University of North Carolina at Chapel Hill,Chapel Hill,NC,unc.edu,,,,,,,,,,,,,,,,,,,
University of Notre Dame,Notre Dame,IN,nd.edu,,,,,,,,,,,,,,,,,,,
"University of California, San Diego",La Jolla,CA,ucsd.edu,,,,,,,,,,,,,,,,,,,
The University of Texas at Austin,Austin,TX,utexas.edu,,,,,,,,,,,,,,,,,,,
University of Wisconsin-Madison,Madison,WI,wisc.edu,,,,,,,,,,,,,,,,,,,
University of Illinois Urbana-Champaign,Champaign,IL,uiuc.edu,,,,,,,,,,,,,,,,,,,
Ohio State University - Columbus,Columbus,OH,osu.edu,,,,,,,,,,,,,,,,,,,
Pennsylvania State University,University Park,PA,psu.edu,,,,,,,,,,,,,,,,,,,
Wake Forest University,Winston-Salem,NC,wfu.edu,,,,,,,,,,,,,,,,,,,
"University of California, Davis",Davis,CA,ucdavis.edu,,,,,,,,,,,,,,,,,,,
"University of California, Irvine",Irvine,CA,uci.edu,,,,,,,,,,,,,,,,,,,
"University of California, Santa Barbara",Santa Barbara,CA,ucsb.edu,,,,,,,,,,,,,,,,,,,
College of William and Mary,Williamsburg,VA,wm.edu,,,,,,,,,,,,,,,,,,,
Brandeis University,Waltham,MA,brandeis.edu,,,,,,,,,,,,,,,,,,,
University of Miami,Coral Gables,FL,miami.edu,,,,,,,,,,,,,,,,,,,
