Name,SAT,GPA,AdmitRate,CurrentSource
"Harvard University",1580,3.96,3.2,REAL
"Stanford University",1570,3.96,3.7,REAL
"MIT",1570,3.97,3.9,REAL
"Yale University",1570,3.95,4.5,REAL
"Princeton University",1570,3.95,4.0,REAL
"Columbia University",1560,3.91,3.9,REAL
"University of Pennsylvania",1550,3.90,5.9,REAL
"Brown University",1550,3.94,5.0,REAL
"Dartmouth College",1540,3.90,6.2,REAL
"Cornell University",1530,3.90,8.7,REAL
"Duke University",1550,3.94,6.0,REAL
"Northwestern University",1550,3.92,6.8,REAL
"Johns Hopkins University",1540,3.90,7.0,REAL
"Rice University",1540,3.96,9.0,REAL
"Vanderbilt University",1530,3.90,7.7,REAL
"WashU St. Louis",1540,3.91,12,REAL
"Carnegie Mellon University",1540,3.88,11,REAL
"Tufts University",1500,3.81,10,REAL
"Emory University",1490,3.82,11,REAL
"Georgetown University",1490,3.90,12,REAL
"UC Berkeley",1450,3.89,11,REAL
"UCLA",1430,3.89,9,REAL
"University of Michigan",1490,3.90,18,REAL
"University of Virginia",1460,3.86,18,REAL
"New York University",1470,3.81,16,REAL
"Boston University",1430,3.70,22,REAL
"Northeastern University",1490,3.90,18,REAL
"Georgia Tech",1490,4.07,17,REAL
"USC",1490,3.80,11,REAL
"Boston College",1470,3.83,17,REAL
"Case Western Reserve",1490,3.91,27,REAL
"Tulane University",1440,3.70,13,REAL
"University of Rochester",1470,3.82,25,REAL
"Purdue University",1320,3.62,60,REAL
"University of Florida",1350,3.87,24,REAL
"University of Washington",1390,3.82,52,REAL
"Williams College",1540,3.92,9.5,REAL
"Amherst College",1530,3.90,9.5,REAL
"Bowdoin College",1490,3.88,9,REAL
"Middlebury College",1460,3.80,17,REAL
"Grinnell College",1430,3.72,16,REAL
"University of California, Berkeley",,,,ESTIMATE
"University of California, Los Angeles",,,,ESTIMATE
"University of Michigan - Ann Arbor",,,,ESTIMATE
"University of Virginia, Charlottesville",,,,ESTIMATE
"University of North Carolina at Chapel Hill",,,,ESTIMATE
"University of Southern California",,,,ESTIMATE
"University of Notre Dame",,,,ESTIMATE
"University of California, San Diego",,,,ESTIMATE
"Georgia Institute of Technology",,,,ESTIMATE
"The University of Texas at Austin",,,,ESTIMATE
"University of Wisconsin - Madison",,,,ESTIMATE
"University of Illinois Urbana-Champaign",,,,ESTIMATE
"Ohio State University - Columbus",,,,ESTIMATE
"Pennsylvania State University",,,,ESTIMATE
"Case Western Reserve University",,,,ESTIMATE
"Wake Forest University",,,,ESTIMATE
"University of California, Davis",,,,ESTIMATE
"University of California, Irvine",,,,ESTIMATE
"University of California, Santa Barbara",,,,ESTIMATE
