# Ранние раунды — отдельный источник правды, перекрывает всё остальное.
# Пустая ячейка = такого раунда у вуза нет. Строка есть = данные проверены.
# Даты типового цикла (осень→зима); если вуз сдвинет день на год, правится тут.
domain,ED_date,ED2_date,EA_date,REA_date
umich.edu,,,Nov 1,
virginia.edu,Nov 1,,Nov 1,
nyu.edu,Nov 1,Jan 1,,
bu.edu,Nov 1,Jan 4,,
northeastern.edu,Nov 1,Jan 1,Nov 1,
gatech.edu,,,Nov 1,
usc.edu,,,Nov 1,
bc.edu,Nov 1,Jan 1,,
case.edu,Nov 1,Jan 15,Nov 1,
tulane.edu,Nov 1,Jan 8,Nov 15,
rochester.edu,Nov 1,Jan 5,Nov 1,
purdue.edu,,,Nov 1,
williams.edu,Nov 15,,,
amherst.edu,Nov 1,,,
bowdoin.edu,Nov 15,Jan 5,,
middlebury.edu,Nov 1,Jan 1,,
grinnell.edu,Nov 1,Jan 1,,
unc.edu,,,Oct 15,
nd.edu,,,,Nov 1
wisc.edu,,,Nov 1,
illinois.edu,,,Nov 1,
osu.edu,,,Nov 1,
psu.edu,,,Nov 1,
wfu.edu,Nov 15,Jan 1,,
wm.edu,Nov 1,,Nov 1,
brandeis.edu,Nov 1,Jan 1,,
miami.edu,Nov 1,Jan 1,Nov 1,
lehigh.edu,Nov 1,Jan 1,,
rpi.edu,Nov 1,Jan 1,,
uga.edu,,,Oct 15,
umd.edu,,,Nov 1,
twin-cities.umn.edu,,,Nov 1,
msu.edu,,,Nov 1,
villanova.edu,Nov 1,Jan 15,Nov 1,
smu.edu,Nov 1,Jan 15,Nov 1,
syracuse.edu,Nov 15,Jan 1,,
pepperdine.edu,Nov 1,,Nov 1,
fordham.edu,Nov 1,Jan 2,Nov 1,
gwu.edu,Nov 1,Jan 5,,
american.edu,Nov 1,Jan 15,Nov 15,
baylor.edu,Nov 1,,Nov 1,
bloomington.iu.edu,,,Nov 1,
uconn.edu,,,Nov 1,
umass.edu,Nov 1,,Nov 5,
clemson.edu,,,Oct 15,
newbrunswick.rutgers.edu,,,Nov 1,
vt.edu,Nov 1,,Dec 1,
udel.edu,,,Nov 15,
du.edu,Nov 1,Jan 15,Nov 1,
stevens.edu,Nov 15,Jan 15,Nov 15,
wpi.edu,Nov 1,Jan 1,Nov 1,
lmu.edu,,,Nov 1,
scu.edu,Nov 1,,Nov 1,
colorado.edu,Nov 15,,Nov 15,
uoregon.edu,,,Nov 1,
utk.edu,,,Nov 1,
sc.edu,,,Oct 15,
ncsu.edu,,,Oct 15,
byu.edu,,,Nov 1,
tcu.edu,Nov 1,,Nov 1,
drexel.edu,Nov 1,Jan 15,Nov 1,
temple.edu,,,Nov 1,
miamioh.edu,Nov 1,,Nov 1,
uvm.edu,Nov 1,,Nov 1,
unh.edu,,,Nov 15,
binghamton.edu,Nov 1,Jan 1,Nov 1,
stonybrook.edu,,,Nov 1,
buffalo.edu,,,Nov 1,
howard.edu,Nov 1,,Nov 1,
spelman.edu,Nov 1,,Nov 15,
swarthmore.edu,Nov 15,Jan 5,,
pomona.edu,Nov 1,Jan 8,,
wellesley.edu,Nov 1,Jan 1,,
carleton.edu,Nov 15,Jan 15,,
cmc.edu,Nov 1,Jan 10,,
davidson.edu,Nov 15,Jan 5,,
colby.edu,Nov 15,Jan 1,,
bates.edu,Nov 15,Jan 1,,
hamilton.edu,Nov 15,Jan 5,,
haverford.edu,Nov 15,Jan 1,,
vassar.edu,Nov 15,Jan 1,,
colgate.edu,Nov 15,Jan 15,,
wesleyan.edu,Nov 15,Jan 1,,
smith.edu,Nov 15,Jan 1,,
barnard.edu,Nov 1,,,
wlu.edu,Nov 1,Jan 1,,
bucknell.edu,Nov 15,Jan 15,,
kenyon.edu,Nov 15,Jan 15,Dec 1,
oberlin.edu,Nov 15,Jan 2,,
macalester.edu,Nov 1,Jan 1,Nov 15,
oxy.edu,Nov 1,Jan 3,,
reed.edu,Nov 1,Dec 20,Nov 1,
hmc.edu,Nov 15,Jan 5,,
scrippscollege.edu,Nov 1,Jan 5,,
pitzer.edu,Nov 15,Jan 1,,
coloradocollege.edu,Nov 1,Jan 15,Nov 1,
trincoll.edu,Nov 15,Jan 1,,
brynmawr.edu,Nov 15,Jan 1,,
mtholyoke.edu,Nov 1,Jan 1,Nov 15,
fandm.edu,Nov 15,Jan 15,,
berkeley.edu,,,,
ucla.edu,,,,
ucsd.edu,,,,
ucdavis.edu,,,,
uci.edu,,,,
ucsb.edu,,,,
ucsc.edu,,,,
ucr.edu,,,,
washington.edu,,,,
utexas.edu,,,,
newark.rutgers.edu,,,Nov 1,
camden.rutgers.edu,,,Nov 1,
depaul.edu,,,Nov 15,
luc.edu,,,Nov 1,
richmond.edu,Nov 1,Jan 1,Nov 1,
elon.edu,Nov 1,Jan 5,Nov 10,
