name,domain,type,priority_rank
Arizona State University,asu.edu,4-year,68
Colorado State University,colostate.edu,4-year,155
Oklahoma State University,okstate.edu,4-year,165
Ohio University,ohio.edu,4-year,175
Marist College,marist.edu,4-year,256
"Sewanee, University of the South",sewanee.edu,4-year,314
Embry-Riddle Aeronautical University,erau.edu,4-year,328
42 US,student.42.us.org,4-year,
ASA College,asa.edu,4-year,
Aaniiih Nakoda College,ancollege.edu,4-year,
Academic medical center at State University of New York at Stony Brook,stonybrookmedicine.edu,4-year,
Air Force Institute of Technology,afit.edu,4-year,
Alamo Colleges,aloma.edu,4-year,
Alamo Colleges District,alamo.edu,4-year,
Alaska Pacific University,alaskapacific.edu,4-year,
Albany State University,asurams.edu,4-year,
Albertson College of Idaho,acofi.edu,4-year,
Allan Hancock College,hancockcollege.edu,4-year,
Allegany College of Maryland,allegany.edu,4-year,
Allen College,allencollege.edu,4-year,
Allentown College of Saint Francis de Sales,allencol.edu,4-year,
Alliant International University,alliant.edu,4-year,
Amarillo College,actx.edu,4-year,
Ambassador University,ambassador.edu,4-year,
American Baptist College,abcnash.edu,4-year,
American Coastline University,amercoastuniv.edu,4-year,
American Public University System,apus.edu,4-year,
American River College,arc.losrios.edu,4-year,
Ancilla College,ancilla.edu,4-year,
Andrew College,andrewcollege.edu,4-year,
Angelina College,angelina.edu,4-year,
Antelope Valley College,avc.edu,4-year,
Antioch New England,antiochne.edu,4-year,
Antioch University,antioch.edu,4-year,
Antioch University - Los Angeles,antiochla.edu,4-year,
Antioch University - Seattle,seattleantioch.edu,4-year,
Arcadia College,arcadia.edu,4-year,
Arizona Western College,azwestern.edu,4-year,
Arkansas Baptist College,arkansasbaptist.edu,4-year,
Arkansas Northeastern College,anc.edu,4-year,
Arkansas State University-Beebe,asub.edu,4-year,
Arkansas State University-Mountain Home,asumh.edu,4-year,
Arkansas State University-Newport,asun.edu,4-year,
Arkansas Tech University,atu.edu,4-year,
Armstrong State College,armstrong.edu,4-year,
Ashford University,ashford.edu,4-year,
Aspen University,aspen.edu,4-year,
Assumption College,assumption.edu,4-year,
Assumption College for Sisters,acs350.org,4-year,
Athens State University,athens.edu,4-year,
Augsburg College,augsburg.edu,4-year,
Augustana College (IL),augustana.edu,4-year,
Augustana College (SD),augie.edu,4-year,
Averett College,averett.edu,4-year,
Avila College,avila.edu,4-year,
Bainbridge State College,bainbridge.edu,4-year,
Bakersfield College,bakersfieldcollege.edu,4-year,
Bastyr University,bastyr.edu,4-year,
Bay Atlantic University,bau.edu,4-year,
Baylor College of Medicine,bcm.edu,4-year,
Bellevue College,bellevuecollege.edu,4-year,
Bellevue University,bellevue.edu,4-year,
Berkeley City College,berkeleycitycollege.edu,4-year,
Berkeley College,berkeleycollege.edu,4-year,
Bethel College (KS),bethelks.edu,4-year,
Birmingham-Southern College,bsc.edu,4-year,
Bishop McNamara High School,bmhs.org,4-year,
Bismark State College,bismarckstate.edu,4-year,
Black Hawk College,bhc.edu,4-year,
Blinn College,blinn.edu,4-year,
Bloomsburg University of Pennsylvania,bloomu.edu,4-year,
Bluefield State College,bluefieldstate.edu,4-year,
Bluffton College,bluffton.edu,4-year,
Bob Jones University,bju.edu,4-year,
Boston Graduate School of Psychoanalysis,bgsp.edu,4-year,
Brandman University,brandman.edu,4-year,
Briar Cliff College,briar-cliff.edu,4-year,
Brigham Young University - Idaho,byui.edu,4-year,
Brookhaven College,brookhavencollege.edu,4-year,
Brookings Institution,brookings.edu,4-year,
Broward College,broward.edu,4-year,
Butte College,butte.edu,4-year,
CUNY City College of NY,ccny.cuny.edu,4-year,
CUNY City Tech,citytech.cuny.edu,4-year,
CUNY Macauly Honors College,macauly.cuny.edu,4-year,
CUNY School of Law,law.cuny.edu,4-year,
Cabrillo College,cabrillo.edu,4-year,
Cabrini University,cabrini.edu,4-year,
California Coast University,calcoast.edu,4-year,
California Maritime Academy,csum.edu,4-year,
California National University,cnuas.edu,4-year,
California Southern University,calsouthern.edu,4-year,
California State University,csueastbay.edu,4-year,
California State University System,calstate.edu,4-year,
"California State University, Hayward",csuhayward.edu,4-year,
California University of Pennsylvania,cup.edu,4-year,
California University of Science and Medicine,cusm.edu,4-year,
Calvin College,calvin.edu,4-year,
Cameron University,cameron.edu,4-year,
Campbellsville College,campbellsville.edu,4-year,
Canada College,canadacollege.edu,4-year,
Canisius College,canisius.edu,4-year,
Capella University,capella.edu,4-year,
Career College of Northern Nevada,ccnn.edu,4-year,
Carl Albert State College,carlalbert.edu,4-year,
Carl Sandburg College,sandburg.edu,4-year,
Carlow College,carlow.edu,4-year,
Carolinas College of Health Sciences,carolinascollege.edu,4-year,
Carrington College California-Sacramento,carrington.edu,4-year,
Carson-Newman College,cn.edu,4-year,
Carver College,carver.edu,4-year,
Casper College,caspercollege.edu,4-year,
Castleton State University,castleton.edu,4-year,
Cecil College,cecil.edu,4-year,
Cedar Valley College,cedarvalleycollege.edu,4-year,
Cedarville College,cedarville.edu,4-year,
Central Arizona College,centralaz.edu,4-year,
Central Lakes College-Brainerd,www.clcmn.edu,4-year,
Central Maine Medical Center College of Nursing and Health Professions,cmmccollege.edu,4-year,
Central Methodist College,cmc.edu,4-year,
Central Texas College,ctcd.edu,4-year,
Central Wyoming College,cwc.edu,4-year,
Century College,century.edu,4-year,
Cerritos College,cerritos.edu,4-year,
Chabot College,chabotcollege.edu,4-year,
Chadron State College,csc.edu,4-year,
Chaffey College,chaffey.edu,4-year,
Chatfield College,chatfield.edu,4-year,
Chatham College,chatham.edu,4-year,
Cheyney University,cheyney.edu,4-year,
Chicago School of Professional Psychology,csopp.edu,4-year,
Chief Dull Knife College,cdkc.edu,4-year,
Cisco College,cisco.edu,4-year,
Citrus College,citruscollege.edu,4-year,
City College of San Francisco,ccsf.edu,4-year,
City Colleges of Chicago,ccc.edu,4-year,
City University,cityu.edu,4-year,
Claremont Colleges,claremont.edu,4-year,
Claremont Graduate School,cgs.edu,4-year,
Claremont Graduate University,cgu.edu,4-year,
Clarendon College,clarendoncollege.edu,4-year,
Clarion University of Pennsylvania,clarion.edu,4-year,
Clark College,clark.edu,4-year,
Clarke College,clarke.edu,4-year,
Clayton State College,clayton.edu,4-year,
Clinch Valley College,clinch.edu,4-year,
Clinton College,clintoncollege.edu,4-year,
Coast Colleges,cccd.edu,4-year,
Coastal Bend College,coastalbend.edu,4-year,
Cochise College,cochise.edu,4-year,
Coker College,coker.edu,4-year,
Cold Spring Harbor Laboratory,cshl.edu,4-year,
College of Alameda,peralta.edu,4-year,
College of DuPage,cod.edu,4-year,
College of Eastern Utah,ceu.edu,4-year,
College of Lake County,www.clcillinois.edu,4-year,
College of Marin,marin.edu,4-year,
College of Mount Saint Vincent,mountsaintvincent.edu,4-year,
College of New Rochelle,cnr.edu,4-year,
College of Saint Catherine,stkate.edu,4-year,
College of Saint Rose,strose.edu,4-year,
College of San Mateo,collegeofsanmateo.edu,4-year,
College of Southern Idaho,csi.edu,4-year,
College of Southern Maryland,csmd.edu,4-year,
College of Southern Nevada,csn.edu,4-year,
College of St. Francis,stfrancis.edu,4-year,
College of St. Scholastica,css.edu,4-year,
College of Western Idaho,cwidaho.cc,4-year,
College of the Albemarle,albemarle.edu,4-year,
College of the Canyons,canyons.edu,4-year,
College of the Desert,collegeofthedesert.edu,4-year,
College of the Mainland,com.edu,4-year,
College of the Ouachitas,coto.edu,4-year,
College of the Redwoods,redwoods.edu,4-year,
College of the Sequoias,cos.edu,4-year,
College of the Siskiyous,siskiyous.edu,4-year,
Colorado Christian University,ccu.edu,4-year,
Colorado Mesa University,coloradomesa.edu,4-year,
Colorado State University - Global Campus,csuglobal.edu,4-year,
Colorado Technical University,coloradotech.edu,4-year,
Columbia Basin College,columbiabasin.edu,4-year,
Columbia College (CA),gocolumbia.edu,4-year,
Columbia College (MO),ccis.edu,4-year,
Columbia College (SC),columbiasc.edu,4-year,
Columbia Southern University,colsouth.edu,4-year,
Columbia Union College,cuc.edu,4-year,
Concordia College - Ann Arbor,ccaa.edu,4-year,
Concordia College - Seward,ccsn.edu,4-year,
Concordia College - St. Paul,csp.edu,4-year,
Connecticut State University System,ct.edu,4-year,
Connors State College,connorsstate.edu,4-year,
Contra Costa College,contracosta.edu,4-year,
Cosumnes River College,crc.losrios.edu,4-year,
Crafton Hills College,craftonhills.edu,4-year,
Crowder College,crowder.edu,4-year,
Cuesta College,www.cuesta.edu,4-year,
Cuyamaca College,cuyamaca.edu,4-year,
Cypress College,cypresscollege.edu,4-year,
Daemen College,daemen.edu,4-year,
Dakota College at Bottineau,dakotacollege.edu,4-year,
Dallas College,dallascollege.edu,4-year,
Dalton State College,daltonstate.edu,4-year,
Dana College,dana.edu,4-year,
Daniel Webster College,dwc.edu,4-year,
Darton State College,darton.edu,4-year,
Daytona State College,daytonastate.edu,4-year,
De Anza College,deanza.edu,4-year,
DeVry Institute of Technology,devry.edu,4-year,
Defense Language Institute Foreign Language Center,dliflc.edu,4-year,
Del Mar College,delmar.edu,4-year,
Delaware College of Art and Design,dcad.edu,4-year,
Delta College,delta.edu,4-year,
Denver College of Nursing,denvercollegeofnursing.edu,4-year,
Des Moines University,dmu.edu,4-year,
Detroit School of Technology,dsdt.edu,4-year,
Diablo Valley College,dvc.edu,4-year,
Dominican College,dominican.edu,4-year,
Dordt College,dordt.edu,4-year,
Dowling College,dowling.edu,4-year,
Drury College,drury.edu,4-year,
ECPI University,ecpi.edu,4-year,
East Central College,eastcentral.edu,4-year,
East Los Angeles College,elac.edu,4-year,
East Stroudsburg State University of Pennsylvania,esu.edu,4-year,
Eastern Arizona College,eac.edu,4-year,
Eastern Florida State College,easternflorida.edu,4-year,
Eastern New Mexico University-Roswell Campus,roswell.enmu.edu,4-year,
Eastern Oklahoma State College,eosc.edu,4-year,
Eastern Oregon State College,eou.edu,4-year,
Eastern Virginia Medical School,evms.edu,4-year,
Eastern Wyoming College,ewc.wy.edu,4-year,
Eastfield College,eastfieldcollege.edu,4-year,
Edgewood College,edgewood.edu,4-year,
Edinboro University of Pennsylvania,edinboro.edu,4-year,
Einsteinmed,einsteinmed.edu,4-year,
El Camino College-Compton Center,compton.edu,4-year,
El Centro College,elcentrocollege.edu,4-year,
Elmhurst College,elmhurst.edu,4-year,
Elon College,elon.edu,4-year,
Emory & Henry College,ehc.edu,4-year,
Everest College,everest.edu,4-year,
Evergreen Valley College,evc.edu,4-year,
Fairleigh Dickinson University,fdu.edu,4-year,
Fairmont State College,fairmontstate.edu,4-year,
Fielding Institute,fielding.edu,4-year,
Fitchburg State College,fsc.edu,4-year,
Florida SouthWestern State College,fsw.edu,4-year,
Florida State College at Jacksonville,fscj.edu,4-year,
Folsom Lake College,flc.losrios.edu,4-year,
Fontbonne College,fontbonne.edu,4-year,
Foothill College,foothill.edu,4-year,
Fox College,foxcollege.edu,4-year,
Frank Phillips College,fpctx.edu,4-year,
Franklin Pierce Law Center,fplc.edu,4-year,
Fresno City College,fresnocitycollege.edu,4-year,
Full Sail University,fullsail.edu,4-year,
Fullerton College,fullcoll.edu,4-year,
GMI Engineering and Management Institute,gmi.edu,4-year,
Galen College of Nursing-Louisville,galencollege.edu,4-year,
Galveston College,gc.edu,4-year,
Garrett College,garrettcollege.edu,4-year,
Gaston College,gaston.edu,4-year,
Gavilan College,gavilan.edu,4-year,
Geneva College,geneva.edu,4-year,
George Fox College,gfc.edu,4-year,
Georgia College,gcsu.edu,4-year,
Georgia Highlands College,highlands.edu,4-year,
Georgia Military College,gmc.cc.ga.us,4-year,
Georgia Perimeter College,gpc.edu,4-year,
Globe University & Minnesota School of Business,msbcollege.edu,4-year,
Golden Gate University,ggu.edu,4-year,
Golden West College,goldenwestcollege.edu,4-year,
Graceland College,graceland.edu,4-year,
Grays Harbor College,ghc.edu,4-year,
Grayson College,grayson.edu,4-year,
Great Basin College,gbcnv.edu,4-year,
Great Falls College Montana State University,gfcmsu.edu,4-year,
Greenleaf University,greenleaf.edu,4-year,
Grossmont College,grossmont.edu,4-year,
Gulf Coast State College,gulfcoast.edu,4-year,
Harcum College,harcum.edu,4-year,
Harper College,harpercollege.edu,4-year,
Harris-Stowe State University,hssu.edu,4-year,
Hartnell College,hartnell.edu,4-year,
Haskell Indian Nations University,haskell.edu,4-year,
Heidelberg College,heidelberg.edu,4-year,
Helena College University of Montana,umhelena.edu,4-year,
Hellenic American University,hauniv.edu,4-year,
Henry Ford College,hfcc.edu,4-year,
Hesston College,hesston.edu,4-year,
Hill College,hillcollege.edu,4-year,
Hobart and William Smith Colleges,hws.edu,4-year,
Hocking College,hocking.edu,4-year,
Hollins College,hollins.edu,4-year,
Houston Baptist University,hbu.edu,4-year,
Howard College,howardcollege.edu,4-year,
ICI University,ici.edu,4-year,
Icahn School of Medicine at Mount Sinai,mssm.edu,4-year,
Idaho State University,isu.edu,4-year,
Ilisagvik College,ilisagvik.edu,4-year,
Illinois Benedictine College,ibc.edu,4-year,
Illinois Central College,icc.edu,4-year,
Imperial Valley College,imperial.edu,4-year,
Indian River State College,irsc.edu,4-year,
Indiana University,iu.edu,4-year,
Indiana University at South Bend,iusb.edu,4-year,
Indiana University/Purdue University at Columbus,iupuc.edu,4-year,
Indiana University/Purdue University at Fort Wayne,ipfw.edu,4-year,
Indiana University/Purdue University at Indianapolis,iupui.edu,4-year,
Institute for Advanced Study,ias.edu,4-year,
Institute for World Politics,iwp.edu,4-year,
International Technological University,itu.edu,4-year,
Iona College,iona.edu,4-year,
Irvine Valley College,ivc.edu,4-year,
Jackson College,jccmi.edu,4-year,
Jacksonville College-Main Campus,jacksonville-college.edu,4-year,
James A Rhodes State College,rhodesstate.edu,4-year,
Jarvis Christian College,jarvis.edu,4-year,
John A Gupton College,guptoncollege.edu,4-year,
John A Logan College,jalc.edu,4-year,
John F. Kennedy University,jfku.edu,4-year,
Johns Hopkins University Applied Physics Laboratory,jhuapl.edu,4-year,
Johnson & Wales University,jwu.edu,4-year,
Jones College,jones.edu,4-year,
Judson College,judson.edu,4-year,
Kansas City University,kansascity.edu,4-year,
Kaplan University,kaplan.edu,4-year,
Kaskaskia College,kaskaskia.edu,4-year,
Kean College,kean.edu,4-year,
Keiser University,keiseruniversity.edu,4-year,
Keller Graduate School of Management,keller.edu,4-year,
Kenai Peninsula College,kpc.alaska.edu,4-year,
Kilgore College,kilgore.edu,4-year,
Kishwaukee College,kishwaukeecollege.edu,4-year,
Knoxville College,knoxvillecollege.edu,4-year,
Kodiak College,koc.alaska.edu,4-year,
LaSalle University,lasalle.edu,4-year,
Lackawanna College,lackawanna.edu,4-year,
Lake Erie College of Osteopathic Medicine,lecom.edu,4-year,
Lake Land College,lakeland.cc.il.us,4-year,
Lake Michigan College,lakemichigancollege.edu,4-year,
Lake Region State College,lrsc.edu,4-year,
Lake Superior College,lsc.edu,4-year,
Lake Superior State University,lssu.edu,4-year,
Lamar Institute of Technology,lit.edu,4-year,
Lamar State College-Orange,lsco.edu,4-year,
Lamar State College-Port Arthur,lamarpa.edu,4-year,
Lane College,lanecollege.edu,4-year,
Laney College,laney.edu,4-year,
Langston University,langston.edu,4-year,
Las Positas College,laspositascollege.edu,4-year,
Lasell College,lasell.edu,4-year,
Latter-day Saints Business College,ldsbc.edu,4-year,
Laurus College,lauruscollege.edu,4-year,
LeMoyne-Owen College,loc.edu,4-year,
Lee College,lee.edu,4-year,
Leech Lake Tribal College,lltc.edu,4-year,
Lenoir-Rhyne College,lrc.edu,4-year,
Linfield College,linfield.edu,4-year,
Little Big Horn College,lbhc.edu,4-year,
Little Priest Tribal College,littlepriest.edu,4-year,
Lock Haven University,lhup.edu,4-year,
Loma Linda University,llu.edu,4-year,
Lone Star College System,lonestar.edu,4-year,
Long Beach City College,lbcc.edu,4-year,
Los Angeles City College,lacitycollege.edu,4-year,
Los Angeles Harbor College,lahc.edu,4-year,
Los Angeles Mission College,lamission.edu,4-year,
Los Angeles Pierce College,piercecollege.edu,4-year,
Los Angeles Southwest College,lasc.edu,4-year,
Los Angeles Valley College,lavc.edu,4-year,
Los Medanos College,losmedanos.edu,4-year,
Louisburg College,louisburg.edu,4-year,
Louisiana College,lacollege.edu,4-year,
Louisiana State University-Eunice,lsue.edu,4-year,
