name,domain,accept_rate_pct,avg_sat,avg_gpa,avg_act,ED_date,ED2_date,EA_date,REA_date,RD_date,coa_sticker,net_under_30k,net_30_48k,net_48_75k,net_75_110k,net_110_150k,net_150_200k,net_200k_plus,pell_pct,median_debt
Arizona State University,asu.edu,,,,,,,,,,,,,,,,,,,
Colorado State University,colostate.edu,,,,,,,,,,,,,,,,,,,
Oklahoma State University,okstate.edu,,,,,,,,,,,,,,,,,,,
Ohio University,ohio.edu,,,,,,,,,,,,,,,,,,,
Marist College,marist.edu,,,,,,,,,,,,,,,,,,,
"Sewanee, University of the South",sewanee.edu,,,,,,,,,,,,,,,,,,,
Embry-Riddle Aeronautical University,erau.edu,,,,,,,,,,,,,,,,,,,
University of Arkansas - Fayetteville,uark.edu,,,,,,,,,,,,,,,,,,,
University of Akron,uakron.edu,,,,,,,,,,,,,,,,,,,
Missouri State University,missouristate.edu,,,,,,,,,,,,,,,,,,,
Idaho State University,isu.edu,,,,,,,,,,,,,,,,,,,
Montana State University - Bozeman,montana.edu,,,,,,,,,,,,,,,,,,,
University of Alaska - Fairbanks,uaf.edu,,,,,,,,,,,,,,,,,,,
University of Alabama at Huntsville,uah.edu,,,,,,,,,,,,,,,,,,,
University of Louisiana at Lafeyette,louisiana.edu,,,,,,,,,,,,,,,,,,,
Northwestern State University,nsula.edu,,,,,,,,,,,,,,,,,,,
Thomas Edison State University,tesc.edu,,,,,,,,,,,,,,,,,,,
Savannah State University,savannahstate.edu,,,,,,,,,,,,,,,,,,,
Albany State University,asurams.edu,,,,,,,,,,,,,,,,,,,
Harris-Stowe State University,hssu.edu,,,,,,,,,,,,,,,,,,,
Shawnee State University,shawnee.edu,,,,,,,,,,,,,,,,,,,
Rogers State University,rsu.edu,,,,,,,,,,,,,,,,,,,
Lake Superior State University,lssu.edu,,,,,,,,,,,,,,,,,,,
Athens State University,athens.edu,,,,,,,,,,,,,,,,,,,
Castleton State University,castleton.edu,,,,,,,,,,,,,,,,,,,
University of Colorado at Denver,ucdenver.edu,,,,,,,,,,,,,,,,,,,
University of Colorado at Colorado Springs,uccs.edu,,,,,,,,,,,,,,,,,,,
University of Alaska - Anchorage,uaa.alaska.edu,,,,,,,,,,,,,,,,,,,
East Stroudsburg State University of Pennsylvania,esu.edu,,,,,,,,,,,,,,,,,,,
Great Falls College Montana State University,gfcmsu.edu,,,,,,,,,,,,,,,,,,,
California State University,csueastbay.edu,,,,,,,,,,,,,,,,,,,
Pembroke State University,pembroke.edu,,,,,,,,,,,,,,,,,,,
Southwest Texas State University,swt.edu,,,,,,,,,,,,,,,,,,,
Troy State University,tsufl.edu,,,,,,,,,,,,,,,,,,,
University of Advancing Technology,uat.edu,,,,,,,,,,,,,,,,,,,
University of Alaska,alaska.edu,,,,,,,,,,,,,,,,,,,
University of Great Falls,ugf.edu,,,,,,,,,,,,,,,,,,,
University of Maine at Machias,umm.maine.edu,,,,,,,,,,,,,,,,,,,
University of Maine at Presque Island,umpi.maine.edu,,,,,,,,,,,,,,,,,,,
University of Massachusetts at Dartmouth,umassd.edu,,,,,,,,,,,,,,,,,,,
University of Massachusetts at Lowell,uml.edu,,,,,,,,,,,,,,,,,,,
University of North Carolina at Asheville,unca.edu,,,,,,,,,,,,,,,,,,,
University of North Carolina at Wilmington,uncw.edu,,,,,,,,,,,,,,,,,,,
University of Phoenix,phoenix.edu,,,,,,,,,,,,,,,,,,,
University of Pikeville,upike.edu,,,,,,,,,,,,,,,,,,,
University of Pittsburgh at Bradford,upb.pitt.edu,,,,,,,,,,,,,,,,,,,
University of Pittsburgh at Johnstown,upj.pitt.edu,,,,,,,,,,,,,,,,,,,
University of Saint Thomas (MN),stthomas.edu,,,,,,,,,,,,,,,,,,,
University of Saint Thomas (TX),stthom.edu,,,,,,,,,,,,,,,,,,,
University of Southern Indiana,usi.edu,,,,,,,,,,,,,,,,,,,
University of Southwestern Louisiana,usl.edu,,,,,,,,,,,,,,,,,,,
University of Tennessee at Chattanooga,utc.edu,,,,,,,,,,,,,,,,,,,
University of Texas Medical Branch,utmb.edu,,,,,,,,,,,,,,,,,,,
University of Texas at Brownsville,utb.edu,,,,,,,,,,,,,,,,,,,
University of Wisconsin Colleges,uwc.edu,,,,,,,,,,,,,,,,,,,
University of the District of Columbia,udc.edu,,,,,,,,,,,,,,,,,,,
University of the People,uopeople.edu,,,,,,,,,,,,,,,,,,,
Weber State University,weber.edu,,,,,,,,,,,,,,,,,,,
Wright State University,wright.edu,,,,,,,,,,,,,,,,,,,
University of Alaska - Southeast,uas.alaska.edu,,,,,,,,,,,,,,,,,,,
University of Arkansas - Fort Smith,uafs.edu,,,,,,,,,,,,,,,,,,,
University of Arkansas - Monticello,uamont.edu,,,,,,,,,,,,,,,,,,,
University of Missouri - Rolla,umr.edu,,,,,,,,,,,,,,,,,,,
University of Missouri - Saint Louis,umsl.edu,,,,,,,,,,,,,,,,,,,
University of Pittsburgh-Titusville,upt.pitt.edu,,,,,,,,,,,,,,,,,,,
University of Texas - Pan American,panam.edu,,,,,,,,,,,,,,,,,,,
University of Wisconsin - LaCrosse,uwlax.edu,,,,,,,,,,,,,,,,,,,
Helena College University of Montana,umhelena.edu,,,,,,,,,,,,,,,,,,,
State University of New York College at Brockport,brockport.edu,,,,,,,,,,,,,,,,,,,
State University of New York College at Buffalo,buffalostate.edu,,,,,,,,,,,,,,,,,,,
State University of New York College at Cortland,cortland.edu,,,,,,,,,,,,,,,,,,,
State University of New York College at Geneseo,geneseo.edu,,,,,,,,,,,,,,,,,,,
State University of New York College at New Paltz,newpaltz.edu,,,,,,,,,,,,,,,,,,,
State University of New York College at Oneonta,oneonta.edu,,,,,,,,,,,,,,,,,,,
State University of New York College at Potsdam,potsdam.edu,,,,,,,,,,,,,,,,,,,
State University of New York College of Agriculture and Technology at Cobleskill,cobleskill.edu,,,,,,,,,,,,,,,,,,,
State University of New York College of Environmental Science and Forestry,esf.edu,,,,,,,,,,,,,,,,,,,
Academy of Art University,academyart.edu,,,,,,,,,,,,,,,,,,,
Alaska Pacific University,alaskapacific.edu,,,,,,,,,,,,,,,,,,,
Alliant International University,alliant.edu,,,,,,,,,,,,,,,,,,,
Ambassador University,ambassador.edu,,,,,,,,,,,,,,,,,,,
American Coastline University,amercoastuniv.edu,,,,,,,,,,,,,,,,,,,
Antioch University,antioch.edu,,,,,,,,,,,,,,,,,,,
Arkansas Tech University,atu.edu,,,,,,,,,,,,,,,,,,,
Ashford University,ashford.edu,,,,,,,,,,,,,,,,,,,
Aspen University,aspen.edu,,,,,,,,,,,,,,,,,,,
Bastyr University,bastyr.edu,,,,,,,,,,,,,,,,,,,
Bay Atlantic University,bau.edu,,,,,,,,,,,,,,,,,,,
Bellevue University,bellevue.edu,,,,,,,,,,,,,,,,,,,
Bloomsburg University of Pennsylvania,bloomu.edu,,,,,,,,,,,,,,,,,,,
Bob Jones University,bju.edu,,,,,,,,,,,,,,,,,,,
Brandman University,brandman.edu,,,,,,,,,,,,,,,,,,,
Cabrini University,cabrini.edu,,,,,,,,,,,,,,,,,,,
California Coast University,calcoast.edu,,,,,,,,,,,,,,,,,,,
California National University,cnuas.edu,,,,,,,,,,,,,,,,,,,
California Southern University,calsouthern.edu,,,,,,,,,,,,,,,,,,,
California University of Pennsylvania,cup.edu,,,,,,,,,,,,,,,,,,,
California University of Science and Medicine,cusm.edu,,,,,,,,,,,,,,,,,,,
Cameron University,cameron.edu,,,,,,,,,,,,,,,,,,,
Capella University,capella.edu,,,,,,,,,,,,,,,,,,,
